region,season,year,subset,nsat,H_state3
AKcorr_5,freeze-up,2019,A,1,0.5185365856742883
AKcorr_5,freeze-up,2019,AB,2,0.5261552443889471
AKcorr_5,freeze-up,2019,B,1,0.32598419855744326
AKcorr_5,freeze-up,2020,A,1,0.3643549237465378
AKcorr_5,freeze-up,2020,AB,2,0.492256009141393
AKcorr_5,freeze-up,2020,B,1,0.3444282959495863
AKcorr_5,freeze-up,2021,A,1,0.37597367928310726
AKcorr_5,freeze-up,2021,AB,2,0.49336996366359925
AKcorr_5,freeze-up,2021,B,1,0.36448822372015316
AKcorr_5,freeze-up,2025,A,1,0.44442217135396267
AKcorr_5,freeze-up,2025,AC,2,0.6106984581764203
AKcorr_5,freeze-up,2025,C,1,0.48831437368580055
AKcorr_5,melt,2019,A,1,0.2634644905496078
AKcorr_5,melt,2019,AB,2,0.31683343131510905
AKcorr_5,melt,2019,B,1,0.24673713512715661
AKcorr_5,melt,2020,A,1,0.2698128750637989
AKcorr_5,melt,2020,AB,2,0.3489874108330204
AKcorr_5,melt,2020,B,1,0.22654549975882723
AKcorr_5,melt,2021,A,1,0.24738362527014554
AKcorr_5,melt,2021,AB,2,0.3330836594602481
AKcorr_5,melt,2021,B,1,0.22956674840523877
AKcorr_5,melt,2025,A,1,0.25101097542399814
AKcorr_5,melt,2025,AC,2,0.3167250267732187
AKcorr_5,melt,2025,C,1,0.25291075314081335
AKcorr_5,melt,2026,A,1,0.1579877727632482
AKcorr_5,melt,2026,AC,2,0.25633696415666907
AKcorr_5,melt,2026,ACD,3,0.359430337057575
AKcorr_5,melt,2026,AD,2,0.337555270771313
AKcorr_5,melt,2026,C,1,0.2193062035393349
AKcorr_5,melt,2026,CD,2,0.3510088661994686
AKcorr_5,melt,2026,D,1,0.3313894412976007
AKcorr_5,winter,2019,A,1,0.3196058788156231
AKcorr_5,winter,2019,AB,2,0.32554269425500787
AKcorr_5,winter,2019,B,1,0.0392553180770204
AKcorr_5,winter,2020,A,1,0.3759055891448975
AKcorr_5,winter,2020,AB,2,0.46244959512526707
AKcorr_5,winter,2020,B,1,0.26850569490602466
AKcorr_5,winter,2021,A,1,0.3499648211148282
AKcorr_5,winter,2021,AB,2,0.457608626774527
AKcorr_5,winter,2021,B,1,0.3140637437541858
AKcorr_5,winter,2025,A,1,0.29946929654612386
AKcorr_5,winter,2025,AC,2,0.3375905890643401
AKcorr_5,winter,2025,C,1,0.22383016866631344
AKcorr_5,winter,2026,A,1,0.35392872315166757
