year,season,days_avail,days_total,mean_frac,region,availability
2024,freeze-up,0,92,1.646903820816864e-05,AKcorr_4,0.0
2024,melt,0,122,0.0,AKcorr_4,0.0
2024,winter,0,91,1.665001665001665e-05,AKcorr_4,0.0
2025,freeze-up,0,32,0.0,AKcorr_4,0.0
2025,melt,0,122,0.00016145057128663686,AKcorr_4,0.0
2025,winter,0,90,3.367003367003367e-05,AKcorr_4,0.0
2019,freeze-up,2,92,0.006897477187332261,AKcorr_5,0.021739130434782608
2019,melt,0,122,0.0,AKcorr_5,0.0
2019,winter,2,90,0.003607681755829904,AKcorr_5,0.022222222222222223
2020,freeze-up,0,92,0.00032206119162640903,AKcorr_5,0.0
2020,melt,0,122,0.0,AKcorr_5,0.0
2020,winter,10,91,0.03405236738570072,AKcorr_5,0.10989010989010989
2021,freeze-up,2,92,0.010990338164251207,AKcorr_5,0.021739130434782608
2021,melt,0,122,0.0,AKcorr_5,0.0
2021,winter,10,90,0.030919067215363513,AKcorr_5,0.1111111111111111
2022,freeze-up,0,92,8.051529790660226e-05,AKcorr_5,0.0
2022,melt,0,122,0.0,AKcorr_5,0.0
2022,winter,2,90,0.0027160493827160493,AKcorr_5,0.022222222222222223
2023,freeze-up,0,92,0.00034889962426194304,AKcorr_5,0.0
2023,melt,0,122,0.0,AKcorr_5,0.0
2023,winter,3,90,0.0026474622770919064,AKcorr_5,0.03333333333333333
2024,freeze-up,0,92,0.00024154589371980678,AKcorr_5,0.0
2024,melt,0,122,0.0,AKcorr_5,0.0
2024,winter,4,91,0.003378103378103378,AKcorr_5,0.04395604395604396
2025,freeze-up,0,32,3.8580246913580246e-05,AKcorr_5,0.0
2025,melt,0,122,0.0,AKcorr_5,0.0
2025,winter,4,90,0.003374485596707819,AKcorr_5,0.044444444444444446
2019,freeze-up,6,92,0.019490895577852097,AKcorr_6,0.06521739130434782
2019,melt,0,122,0.0,AKcorr_6,0.0
2019,winter,6,90,0.011832858499525166,AKcorr_6,0.06666666666666667
2020,freeze-up,1,92,0.0014678558156819026,AKcorr_6,0.010869565217391304
2020,melt,0,122,0.0,AKcorr_6,0.0
2020,winter,31,91,0.0989010989010989,AKcorr_6,0.34065934065934067
2021,freeze-up,8,92,0.02545522110739502,AKcorr_6,0.08695652173913043
2021,melt,0,122,0.0,AKcorr_6,0.0
2021,winter,14,90,0.054188034188034195,AKcorr_6,0.15555555555555556
2022,freeze-up,0,92,1.858045336306206e-05,AKcorr_6,0.0
2022,melt,0,122,0.0,AKcorr_6,0.0
2022,winter,0,90,0.0004368471035137702,AKcorr_6,0.0
2023,freeze-up,0,92,0.0001858045336306206,AKcorr_6,0.0
2023,melt,0,122,0.0,AKcorr_6,0.0
2023,winter,0,90,0.0007217473884140552,AKcorr_6,0.0
2024,freeze-up,0,92,1.858045336306206e-05,AKcorr_6,0.0
2024,melt,0,122,0.0,AKcorr_6,0.0
2024,winter,0,91,0.0004508312200619893,AKcorr_6,0.0
2025,freeze-up,0,32,0.0009081196581196581,AKcorr_6,0.0
2025,melt,0,122,0.0,AKcorr_6,0.0
2025,winter,0,90,0.0007407407407407407,AKcorr_6,0.0
