region,year,season,dt_h,O,n_acq
AKcorr_1,2025,shoulder,6,0.0,19
AKcorr_1,2025,shoulder,12,0.0,19
AKcorr_1,2025,shoulder,24,0.0,19
AKcorr_1,2025,shoulder,48,0.1967,19
AKcorr_1,2025,shoulder,72,0.1967,19
AKcorr_1,2025,shoulder,168,0.927,19
AKcorr_1,2025,melt,6,0.0,32
AKcorr_1,2025,melt,12,0.0,32
AKcorr_1,2025,melt,24,0.0,32
AKcorr_1,2025,melt,48,0.0489,32
AKcorr_1,2025,melt,72,0.0489,32
AKcorr_1,2025,melt,168,0.9546,32
AKcorr_1,2025,freeze-up,6,0.0,30
AKcorr_1,2025,freeze-up,12,0.0,30
AKcorr_1,2025,freeze-up,24,0.0,30
AKcorr_1,2025,freeze-up,48,0.173,30
AKcorr_1,2025,freeze-up,72,0.173,30
AKcorr_1,2025,freeze-up,168,0.9675,30
AKcorr_1,2026,winter,6,0.0,27
AKcorr_1,2026,winter,12,0.0,27
AKcorr_1,2026,winter,24,0.0,27
AKcorr_1,2026,winter,48,0.1326,27
AKcorr_1,2026,winter,72,0.1326,27
AKcorr_1,2026,winter,168,0.8394,27
AKcorr_1,2026,shoulder,6,0.0,22
AKcorr_1,2026,shoulder,12,0.0,22
AKcorr_1,2026,shoulder,24,0.0365,22
AKcorr_1,2026,shoulder,48,0.265,22
AKcorr_1,2026,shoulder,72,0.265,22
AKcorr_1,2026,shoulder,168,0.5918,22
AKcorr_1,2026,melt,6,0.0,21
AKcorr_1,2026,melt,12,0.0,21
AKcorr_1,2026,melt,24,0.0,21
AKcorr_1,2026,melt,48,0.0103,21
AKcorr_1,2026,melt,72,0.0103,21
AKcorr_1,2026,melt,168,0.7789,21
AKcorr_2,2016,winter,6,0.0,6
AKcorr_2,2016,winter,12,0.0,6
AKcorr_2,2016,winter,24,0.0,6
AKcorr_2,2016,winter,48,0.0,6
AKcorr_2,2016,winter,72,0.0,6
AKcorr_2,2016,winter,168,0.0,6
AKcorr_2,2016,shoulder,6,0.0,3
AKcorr_2,2016,shoulder,12,0.0,3
AKcorr_2,2016,shoulder,24,0.0,3
AKcorr_2,2016,shoulder,48,0.0,3
AKcorr_2,2016,shoulder,72,0.0,3
AKcorr_2,2016,shoulder,168,0.0,3
AKcorr_2,2016,melt,6,0.0,3
AKcorr_2,2016,melt,12,0.0,3
AKcorr_2,2016,melt,24,0.0,3
AKcorr_2,2016,melt,48,0.0,3
AKcorr_2,2016,melt,72,0.0,3
AKcorr_2,2016,melt,168,0.0492,3
AKcorr_2,2016,freeze-up,6,0.0,14
AKcorr_2,2016,freeze-up,12,0.0,14
AKcorr_2,2016,freeze-up,24,0.0121,14
AKcorr_2,2016,freeze-up,48,0.0493,14
AKcorr_2,2016,freeze-up,72,0.077,14
AKcorr_2,2016,freeze-up,168,0.3646,14
AKcorr_2,2017,winter,6,0.0,31
